Sample,Time,Decoder,Ann Row,Ann Class,Value
1104407,46.017 ms,USB packet,Packets,Packet: SOF,SOF 385
1119737,46.656 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1119815,46.659 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 02 00 00 ]
1119982,46.666 ms,USB packet,Packets,Packet: Invalid,Invalid packet (shorter than 16 bits)
1120407,46.684 ms,USB packet,Packets,Packet: NAK,NAK
1121472,46.728 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1121551,46.731 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 09 02 43 00 02 01 00 C0 32 09 04 00 00 01 02 02 01 00 05 24 00 10 01 05 24 01 00 01 04 24 02 02 05 24 06 00 01 07 05 82 03 08 00 10 09 04 01 00 02 0A 00 00 00 07 05 01 02 40 00 00 07 05 81 02 ]
1122656,46.777 ms,USB packet,Packets,Packet: ACK,ACK
1122819,46.784 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1122897,46.787 ms,USB packet,Packets,Packet: NAK,NAK
1123913,46.830 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1123992,46.833 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 40 00 00 ]
1124121,46.838 ms,USB packet,Packets,Packet: ACK,ACK
1124829,46.868 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1124907,46.871 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1124986,46.874 ms,USB packet,Packets,Packet: ACK,ACK
1128417,47.017 ms,USB packet,Packets,Packet: SOF,SOF 386
1128495,47.021 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1128573,47.024 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 0F 00 00 FF 00 ]
1128782,47.033 ms,USB packet,Packets,Packet: ACK,ACK
1129647,47.069 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1129726,47.072 ms,USB packet,Packets,Packet: NAK,NAK
1130834,47.118 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1130912,47.121 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 05 0F 0C 00 01 07 10 02 02 00 00 00 ]
1131186,47.133 ms,USB packet,Packets,Packet: ACK,ACK
1131810,47.159 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1131888,47.162 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1131967,47.165 ms,USB packet,Packets,Packet: ACK,ACK
1135055,47.294 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1135133,47.297 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 03 03 09 04 FF 00 ]
1135342,47.306 ms,USB packet,Packets,Packet: ACK,ACK
1135641,47.318 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1135720,47.322 ms,USB packet,Packets,Packet: NAK,NAK
1137856,47.411 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1137935,47.414 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 1A 03 33 00 31 00 34 00 44 00 33 00 33 00 36 00 46 00 33 00 34 00 33 00 34 00 ]
1138432,47.435 ms,USB packet,Packets,Packet: ACK,ACK
1139315,47.471 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1139393,47.475 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1139472,47.478 ms,USB packet,Packets,Packet: ACK,ACK
1140229,47.510 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1140307,47.513 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 03 00 00 FF 00 ]
1140516,47.522 ms,USB packet,Packets,Packet: ACK,ACK
1141085,47.545 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1141164,47.549 ms,USB packet,Packets,Packet: NAK,NAK
1142184,47.591 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1142263,47.594 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 04 03 09 04 ]
1142408,47.600 ms,USB packet,Packets,Packet: ACK,ACK
1143100,47.629 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1143178,47.632 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1143257,47.636 ms,USB packet,Packets,Packet: ACK,ACK
1145197,47.717 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1145275,47.720 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ]
1145484,47.729 ms,USB packet,Packets,Packet: ACK,ACK
1145781,47.741 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1145860,47.744 ms,USB packet,Packets,Packet: NAK,NAK
1147362,47.807 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1147441,47.810 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 32 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 56 00 69 00 72 00 74 00 75 00 61 00 6C 00 20 00 43 00 6F 00 6D 00 50 00 6F 00 72 00 74 00 ]
1148322,47.847 ms,USB packet,Packets,Packet: ACK,ACK
1148750,47.865 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1148828,47.868 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1148907,47.871 ms,USB packet,Packets,Packet: ACK,ACK
1152426,48.018 ms,USB packet,Packets,Packet: SOF,SOF 387
1152504,48.021 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1152582,48.024 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 06 00 00 0A 00 ]
1152789,48.033 ms,USB packet,Packets,Packet: ACK,ACK
